No.,级别,汉字,拼音
1100,三级,蕉,jiāo
1101,高等,礁,jiāo
1102,高等,嚼,jiáo
1103,二级,角,jiǎo
1104,四级,角,jué
1105,高等,狡,jiǎo
1106,二级,饺,jiǎo
1107,高等,绞,jiǎo
1108,高等,矫,jiǎo
1109,二级,脚,jiǎo
1110,高等,搅,jiǎo
1111,高等,缴,jiǎo
1112,一级,叫,jiào
1113,一级,觉,jiào
1114,一级,觉,jué
1115,高等,轿,jiào
1116,三级,较,jiào
1117,高等,酵,jiào
1118,四级,阶,jiē
1119,高等,皆,jiē
1120,二级,接,jiē
1121,六级,揭,jiē
1122,二级,街,jiē
1123,二级,节,jié
1124,高等,劫,jié
1125,六级,杰,jié
1126,六级,洁,jié
1127,二级,结,jié
1128,三级,结,jiē
1129,高等,捷,jié
1130,六级,截,jié
1131,高等,竭,jié
1132,一级,姐,jiě
1133,三级,解,jiě
1134,一级,介,jiè
1135,五级,戒,jiè
1136,五级,届,jiè
1137,三级,界,jiè
1138,高等,诫,jiè
1139,二级,借,jiè
1140,四级,巾,jīn
1141,二级,斤,jīn
1142,一级,今,jīn
1143,三级,金,jīn
1144,高等,津,jīn
1145,高等,筋,jīn
1146,三级,仅,jǐn
1147,三级,尽,jǐn
1148,四级,尽,jìn
1149,三级,紧,jǐn
1150,高等,锦,jǐn
1151,高等,谨,jǐn
1152,一级,进,jìn
1153,二级,近,jìn
1154,四级,劲,jìn
1155,高等,晋,jìn
1156,高等,浸,jìn
1157,四级,禁,jìn
1158,六级,禁,jīn
1159,高等,茎,jīng
1160,一级,京,jīng
1161,二级,经,jīng
1162,高等,荆,jīng
1163,四级,惊,jīng
1164,高等,晶,jīng
1165,二级,睛,jīng
1166,高等,兢,jīng
1167,三级,精,jīng
1168,六级,井,jǐng
1169,高等,阱,jǐng
1170,高等,颈,jǐng
1171,三级,景,jǐng
1172,三级,警,jǐng
1173,六级,径,jìng
1174,一级,净,jìng
1175,五级,竞,jìng
1176,四级,竟,jìng
1177,五级,敬,jìng
1178,二级,静,jìng
1179,三级,境,jìng
1180,四级,镜,jìng
1181,高等,窘,jiǒng
1182,六级,纠,jiū
1183,四级,究,jiū
1184,高等,揪,jiū
1185,一级,九,jiǔ
1186,二级,久,jiǔ
1187,高等,灸,jiǔ
1188,二级,酒,jiǔ
1189,三级,旧,jiù
1190,三级,救,jiù
1191,一级,就,jiù
1192,高等,舅,jiù
1193,高等,拘,jū
1194,四级,居,jū
1195,高等,鞠,jū
1196,四级,局,jú
1197,高等,菊,jú
1198,高等,橘,jú
1199,高等,沮,jǔ
1200,高等,矩,jǔ
1201,二级,举,jǔ
1202,四级,巨,jù
1203,二级,句,jù
1204,五级,拒,jù
1205,三级,具,jù
1206,高等,炬,jù
1207,五级,俱,jù
1208,三级,剧,jù
1209,三级,据,jù
1210,四级,距,jù
1211,高等,惧,jù
1212,高等,锯,jù
1213,四级,聚,jù
1214,六级,捐,juān
1215,四级,卷,juǎn
1216,四级,卷,juàn
1217,高等,倦,juàn
1218,三级,决,jué
1219,高等,诀,jué
1220,三级,绝,jué
1221,高等,掘,jué
1222,高等,崛,jué
1223,高等,爵,jué
1224,高等,倔,jué
1225,高等,倔,juè
1226,五级,军,jūn
1227,四级,均,jūn
1228,高等,君,jūn
1229,高等,钧,jūn
1230,六级,菌,jūn
1231,高等,俊,jùn
1232,高等,峻,jùn
1233,高等,骏,jùn
1234,高等,竣,jùn
1235,三级,咖,kā
1236,二级,卡,kǎ
1237,高等,卡,qiǎ
1238,一级,开,kāi
1239,高等,凯,kǎi
1240,高等,慨,kǎi
1241,高等,楷,kǎi
1242,六级,刊,kān
1243,高等,勘,kān
1244,高等,堪,kān
1245,高等,侃,kǎn
1246,高等,砍,kǎn
1247,高等,槛,kǎn
1248,一级,看,kàn
1249,六级,看,kān
1250,二级,康,kāng
1251,高等,慷,kāng
1252,高等,扛,káng
1253,六级,抗,kàng
1254,一级,考,kǎo
1255,五级,烤,kǎo
1256,二级,靠,kào
1257,高等,苛,kē
1258,二级,科,kē
1259,四级,棵,kē
1260,五级,颗,kē
1261,高等,磕,kē
1262,高等,壳,ké
1263,五级,咳,ké
1264,二级,可,kě
1265,一级,渴,kě
1266,二级,克,kè
1267,二级,刻,kè
1268,一级,客,kè
1269,一级,课,kè
1270,五级,肯,kěn
1271,高等,垦,kěn
1272,高等,恳,kěn
1273,高等,啃,kěn
1274,高等,坑,kēng
1275,高等,吭,kēng
1276,二级,空,kōng
1277,二级,空,kòng
1278,高等,孔,kǒng
1279,三级,恐,kǒng
1280,五级,控,kòng
1281,高等,抠,kōu
1282,一级,口,kǒu
1283,六级,扣,kòu
1284,高等,枯,kū
1285,二级,哭,kū
1286,高等,窟,kū
1287,三级,苦,kǔ
1288,五级,库,kù
1289,三级,裤,kù
1290,六级,酷,kù
1291,高等,夸,kuā
1292,高等,垮,kuǎ
1293,高等,挎,kuà
1294,六级,跨,kuà
1295,一级,块,kuài
1296,一级,快,kuài
1297,二级,筷,kuài
1298,四级,宽,kuān
1299,五级,款,kuǎn
1300,高等,筐,kuāng
1301,五级,狂,kuáng
1302,高等,旷,kuàng
1303,三级,况,kuàng
1304,四级,矿,kuàng
1305,高等,框,kuàng
1306,五级,亏,kuī
1307,高等,窥,kuī
1308,高等,魁,kuí
1309,高等,馈,kuì
1310,高等,溃,kuì
1311,高等,愧,kuì
1312,高等,昆,kūn
1313,高等,捆,kǔn
1314,三级,困,kùn
1315,四级,扩,kuò
1316,四级,括,kuò
1317,六级,阔,kuò
1318,高等,廓,kuò
1319,四级,垃,lā
1320,二级,拉,lā
1321,高等,喇,lǎ
1322,高等,腊,là
1323,高等,蜡,là
1324,四级,辣,là
1325,六级,啦,la
1326,一级,来,lái
1327,六级,赖,lài
1328,高等,兰,lán
1329,高等,拦,lán
1330,六级,栏,lán
1331,高等,婪,lán
1332,二级,蓝,lán
1333,高等,澜,lán
1334,二级,篮,lán
1335,五级,览,lǎn
1336,高等,揽,lǎn
1337,高等,缆,lǎn
1338,六级,懒,lǎn
1339,五级,烂,làn
1340,高等,滥,làn
1341,四级,郎,láng
1342,高等,狼,láng
1343,高等,廊,láng
1344,五级,朗,lǎng
1345,三级,浪,làng
1346,高等,捞,lāo
1347,五级,劳,láo
1348,六级,牢,láo
1349,高等,唠,láo
1350,一级,老,lǎo
1351,高等,姥,lǎo
1352,高等,涝,lào
1353,二级,乐,lè
1354,二级,乐,yuè
1355,一级,了,le
1356,三级,了,liǎo
1357,高等,勒,lè
1358,高等,勒,lēi
1359,四级,雷,léi
1360,高等,垒,lěi
1361,高等,磊,lěi
1362,高等,蕾,lěi
1363,四级,泪,lèi
1364,三级,类,lèi
1365,一级,累,lèi
1366,四级,累,lěi
1367,高等,棱,léng
1368,一级,冷,lěng
1369,高等,愣,lèng
1370,四级,厘,lí
1371,二级,离,lí
1372,五级,梨,lí
1373,五级,璃,lí
1374,高等,黎,lí
1375,二级,礼,lǐ
1376,三级,李,lǐ
1377,一级,里,lǐ
1378,二级,理,lǐ
1379,二级,力,lì
1380,三级,历,lì
1381,五级,厉,lì
1382,三级,立,lì
1383,高等,吏,lì
1384,三级,丽,lì
1385,五级,励,lì
1386,二级,利,lì
1387,二级,例,lì
1388,高等,隶,lì
1389,高等,粒,lì
1390,四级,俩,liǎ
1391,三级,连,lián
1392,五级,怜,lián
1393,五级,帘,lián
1394,高等,莲,lián
1395,三级,联,lián
1396,高等,廉,lián
1397,高等,敛,liǎn
1398,二级,脸,liǎn
1399,二级,练,liàn
1400,四级,炼,liàn
1401,五级,恋,liàn
1402,高等,链,liàn
1403,四级,良,liáng
1404,二级,凉,liáng
1405,六级,梁,liáng
1406,四级,粮,liáng
1407,一级,两,liǎng
1408,二级,亮,liàng
1409,六级,谅,liàng
1410,二级,辆,liàng
1411,二级,量,liàng
1412,四级,量,liáng
1413,高等,辽,liáo
1414,四级,疗,liáo
1415,四级,聊,liáo
1416,高等,僚,liáo
1417,高等,寥,liáo
1418,高等,潦,liáo
1419,四级,料,liào
1420,高等,咧,liē
1421,高等,咧,liě
1422,四级,列,liè
1423,高等,劣,liè
1424,三级,烈,liè
1425,高等,猎,liè
1426,六级,裂,liè
1427,高等,拎,līn
1428,五级,邻,lín
1429,四级,林,lín
1430,四级,临,lín
1431,高等,淋,lín
1432,高等,赁,lìn
1433,六级,灵,líng
1434,五级,铃,líng
1435,高等,凌,líng
1436,高等,陵,líng
1437,一级,零,líng
1438,五级,龄,líng
1439,高等,岭,lǐng
1440,三级,领,lǐng
1441,三级,另,lìng
1442,五级,令,lìng
1443,高等,溜,liū
1444,高等,刘,liú
1445,高等,浏,liú
1446,二级,留,liú
1447,二级,流,liú
1448,高等,瘤,liú
1449,高等,柳,liǔ
1450,一级,六,liù
1451,高等,遛,liù
1452,三级,龙,lóng
1453,高等,咙,lóng
1454,高等,胧,lóng
1455,高等,聋,lóng
1456,高等,笼,lóng
1457,高等,笼,lǒng
1458,高等,隆,lóng
1459,高等,窿,lóng
1460,高等,拢,lǒng
1461,高等,垄,lǒng
1462,一级,楼,lóu
1463,高等,搂,lǒu
1464,高等,陋,lòu
1465,五级,漏,lòu
1466,高等,芦,lú
1467,六级,炉,lú
1468,高等,卤,lǔ
1469,高等,虏,lǔ
1470,高等,鲁,lǔ
1471,四级,陆,lù
1472,三级,录,lù
1473,高等,赂,lù
1474,高等,鹿,lù
1475,高等,碌,lù
1476,一级,路,lù
1477,六级,露,lù
1478,六级,露,lòu
1479,高等,吕,lǚ
1480,高等,侣,lǚ
1481,二级,旅,lǚ
1482,高等,铝,lǚ
1483,高等,屡,lǚ
1484,高等,缕,lǚ
1485,高等,履,lǚ
1486,四级,律,lǜ
1487,四级,虑,lǜ
1488,四级,率,lǜ
1489,四级,率,shuài
1490,二级,绿,lǜ
1491,高等,滤,lǜ
1492,高等,孪,luán
1493,高等,卵,luǎn
1494,三级,乱,luàn
1495,高等,掠,lüè
1496,六级,略,lüè
1497,高等,抡,lūn
1498,高等,伦,lún
1499,四级,轮,lún
1500,二级,论,lùn
1501,高等,罗,luó
1502,高等,萝,luó
1503,五级,逻,luó
1504,高等,螺,luó
1505,高等,裸,luǒ
1506,四级,络,luò
1507,三级,落,luò
1508,五级,落,là
1509,一级,妈,mā
1510,三级,麻,má
1511,一级,马,mǎ
1512,四级,码,mǎ
1513,五级,骂,mà
1514,一级,吗,ma
1515,六级,嘛,ma
1516,六级,埋,mái
1517,高等,埋,mán
1518,一级,买,mǎi
1519,高等,迈,mài
1520,六级,麦,mài
1521,二级,卖,mài
1522,高等,脉,mài
1523,高等,蛮,mán
1524,六级,馒,mán
1525,高等,瞒,mán
1526,二级,满,mǎn
1527,高等,蔓,màn
1528,五级,漫,màn
1529,一级,慢,màn
1530,高等,芒,máng
1531,一级,忙,máng
1532,六级,盲,máng
1533,高等,氓,máng
1534,高等,茫,máng
1535,高等,莽,mǎng
1536,二级,猫,māo
1537,一级,毛,máo
1538,五级,矛,máo
1539,高等,茅,máo
1540,高等,髦,máo
1541,高等,茂,mào
1542,三级,冒,mào
1543,五级,贸,mào
1544,四级,帽,mào
1545,五级,貌,mào
1546,一级,么,me
1547,一级,没,méi
1548,六级,没,mò
1549,高等,玫,méi
1550,高等,枚,méi
1551,高等,眉,méi
1552,六级,梅,méi
1553,三级,媒,méi
1554,五级,煤,méi
1555,高等,霉,méi
1556,三级,每,měi
1557,三级,美,měi
1558,一级,妹,mèi
1559,高等,昧,mèi
1560,高等,媚,mèi
1561,高等,魅,mèi
1562,高等,闷,mēn
1563,高等,闷,mèn
1564,一级,门,mén
1565,一级,们,men
1566,六级,蒙,mēng
1567,六级,蒙,méng
1568,高等,萌,méng
1569,六级,盟,méng
1570,高等,朦,méng
1571,六级,猛,měng
1572,高等,孟,mèng
1573,四级,梦,mèng
1574,高等,弥,mí
1575,三级,迷,mí
1576,高等,谜,mí
1577,一级,米,mǐ
1578,高等,觅,mì
1579,高等,泌,mì
1580,四级,秘,mì
1581,四级,密,mì
1582,高等,蜜,mì
1583,五级,眠,mián
1584,高等,绵,mián
1585,六级,棉,mián
1586,四级,免,miǎn
1587,高等,勉,miǎn
1588,高等,缅,miǎn
1589,一级,面,miàn
1590,高等,苗,miáo
1591,四级,描,miáo
1592,高等,瞄,miáo
1593,五级,秒,miǎo
1594,高等,渺,miǎo
1595,六级,妙,miào
1596,高等,庙,miào
1597,六级,灭,miè
1598,高等,蔑,miè
1599,三级,民,mín
1600,五级,敏,mǐn
1601,一级,名,míng
1602,一级,明,míng
1603,高等,鸣,míng
1604,高等,铭,míng
1605,三级,命,mìng
1606,高等,谬,miù
1607,四级,摸,mō
1608,四级,模,mó
1609,五级,模,mú
1610,六级,膜,mó
1611,五级,摩,mó
1612,六级,磨,mó
1613,高等,蘑,mó
1614,高等,魔,mó
1615,高等,抹,mǒ
1616,二级,末,mò
1617,高等,沫,mò
1618,高等,陌,mò
1619,高等,莫,mò
1620,五级,漠,mò
1621,高等,寞,mò
1622,六级,墨,mò
1623,四级,默,mò
1624,六级,谋,móu
1625,三级,某,mǒu
1626,三级,母,mǔ
1627,高等,牡,mǔ
1628,高等,亩,mǔ
1629,高等,姆,mǔ
1630,三级,木,mù
1631,二级,目,mù
1632,高等,沐,mù
1633,高等,牧,mù
1634,高等,募,mù
1635,六级,墓,mù
1636,五级,幕,mù
1637,高等,睦,mù
1638,高等,慕,mù
1639,高等,暮,mù
1640,高等,穆,mù
1641,一级,拿,ná
1642,一级,哪,nǎ
1643,四级,哪,na
1644,一级,那,nà
1645,高等,呐,nà
1646,六级,纳,nà
1647,高等,乃,nǎi
1648,一级,奶,nǎi
1649,五级,奈,nài
1650,五级,耐,nài
1651,一级,男,nán
1652,一级,南,nán
1653,一级,难,nán
1654,五级,难,nàn
1655,高等,囊,náng
1656,高等,挠,náo
1657,高等,恼,nǎo
1658,一级,脑,nǎo
1659,四级,闹,nào
1660,一级,呢,ne
1661,高等,馁,něi
1662,三级,内,nèi
1663,高等,嫩,nèn
1664,一级,能,néng
1665,高等,尼,ní
1666,六级,泥,ní
1667,高等,拟,nǐ
1668,一级,你,nǐ
1669,高等,逆,nì
1670,高等,匿,nì
1671,高等,腻,nì
1672,一级,年,nián
1673,高等,黏,nián
1674,三级,念,niàn
1675,三级,娘,niáng
1676,高等,酿,niàng
1677,二级,鸟,niǎo
1678,高等,尿,niào
1679,高等,捏,niē
1680,一级,您,nín
1681,四级,宁,níng
1682,高等,宁,nìng
1683,高等,拧,níng
1684,高等,拧,nǐng
1685,高等,凝,níng
1686,一级,牛,niú
1687,六级,扭,niǔ
1688,高等,纽,niǔ
1689,三级,农,nóng
1690,四级,浓,nóng
1691,二级,弄,nòng
1692,高等,奴,nú
1693,二级,努,nǔ
1694,六级,怒,nù
1695,一级,女,nǚ
1696,三级,暖,nuǎn
1697,高等,虐,nüè
1698,高等,挪,nuó
1699,六级,诺,nuò
1700,高等,哦,ò
1701,高等,欧,ōu
1702,高等,殴,ōu
1703,高等,呕,ǒu
1704,五级,偶,ǒu
1705,高等,趴,pā
1706,二级,爬,pá
1707,高等,帕,pà
1708,二级,怕,pà
1709,三级,拍,pāi
1710,二级,排,pái
1711,高等,徘,pái
1712,三级,牌,pái
1713,三级,派,pài
1714,高等,潘,pān
1715,高等,攀,pān
1716,四级,盘,pán
1717,三级,判,pàn
1718,六级,盼,pàn
1719,高等,叛,pàn
1720,高等,畔,pàn
1721,高等,乓,pāng
1722,高等,庞,páng
1723,一级,旁,páng
1724,三级,胖,pàng
1725,高等,抛,pāo
1726,高等,刨,páo
1727,高等,袍,páo
1728,一级,跑,pǎo
1729,六级,泡,pào
1730,六级,炮,pào
1731,高等,胚,pēi
1732,五级,陪,péi
1733,四级,培,péi
1734,五级,赔,péi
1735,高等,沛,pèi
1736,高等,佩,pèi
1737,三级,配,pèi
1738,五级,喷,pēn
1739,五级,盆,pén
1740,高等,抨,pēng
1741,高等,烹,pēng
1742,一级,朋,péng
1743,高等,棚,péng
1744,高等,蓬,péng
1745,高等,鹏,péng
1746,高等,篷,péng
1747,高等,膨,péng
1748,高等,捧,pěng
1749,二级,碰,pèng
1750,三级,批,pī
1751,五级,披,pī
1752,高等,劈,pī
1753,三级,皮,pí
1754,高等,疲,pí
1755,三级,啤,pí
1756,五级,脾,pí
1757,五级,匹,pǐ
1758,高等,辟,pì
1759,高等,媲,pì
1760,高等,僻,pì
1761,高等,譬,pì
1762,六级,偏,piān
1763,二级,篇,piān
1764,二级,片,piàn
1765,高等,片,piān
1766,五级,骗,piàn
1767,高等,飘,piāo
1768,一级,票,piào
1769,二级,漂,piào
1770,高等,漂,piāo
1771,高等,撇,piě
1772,五级,拼,pīn
1773,六级,贫,pín
1774,五级,频,pín
1775,三级,品,pǐn
1776,六级,聘,pìn
1777,高等,乒,pīng
1778,二级,平,píng
1779,三级,评,píng
1780,高等,坪,píng
1781,三级,苹,píng
1782,五级,凭,píng
1783,六级,屏,píng
1784,二级,瓶,píng
1785,高等,萍,píng
1786,六级,坡,pō
1787,五级,泼,pō
1788,高等,颇,pō
1789,四级,婆,pó
1790,四级,迫,pò
1791,三级,破,pò
1792,高等,魄,pò
1793,高等,剖,pōu
1794,六级,扑,pū
1795,六级,铺,pū
1796,六级,铺,pù
1797,高等,仆,pú
1798,高等,菩,pú
1799,五级,葡,pú
1800,高等,朴,pǔ
1801,高等,浦,pǔ
1802,二级,普,pǔ
1803,高等,谱,pǔ
1804,高等,瀑,pù
1805,一级,七,qī
1806,高等,沏,qī
1807,四级,妻,qī
1808,高等,栖,qī
1809,高等,凄,qī
1810,高等,戚,qī
1811,一级,期,qī
1812,六级,欺,qī
1813,高等,漆,qī
1814,三级,齐,qí
1815,二级,其,qí
1816,三级,奇,qí
1817,高等,歧,qí
1818,高等,祈,qí
1819,二级,骑,qí
1820,高等,棋,qí
1821,六级,旗,qí
1822,高等,乞,qǐ
1823,高等,岂,qǐ
1824,四级,企,qǐ
1825,五级,启,qǐ
1826,一级,起,qǐ
1827,一级,气,qì
1828,高等,迄,qì
1829,五级,弃,qì
1830,一级,汽,qì
1831,高等,泣,qì
1832,高等,契,qì
1833,高等,砌,qì
1834,三级,器,qì
1835,高等,掐,qiā
1836,高等,洽,qià
1837,六级,恰,qià
1838,二级,千,qiān
1839,六级,迁,qiān
1840,六级,牵,qiān
1841,六级,铅,qiān
1842,六级,谦,qiān
1843,五级,签,qiān
1844,一级,前,qián
1845,高等,虔,qián
1846,一级,钱,qián
1847,高等,钳,qián
1848,六级,潜,qián
1849,四级,浅,qiǎn
1850,高等,遣,qiǎn
1851,高等,谴,qiǎn
1852,五级,欠,qiàn
1853,高等,嵌,qiàn
1854,六级,歉,qiàn
1855,高等,呛,qiāng
1856,高等,呛,qiàng
1857,五级,枪,qiāng
1858,高等,腔,qiāng
1859,三级,强,qiáng
1860,五级,强,qiǎng
1861,高等,强,jiàng
1862,二级,墙,qiáng
1863,五级,抢,qiǎng
1864,五级,悄,qiāo
1865,五级,敲,qiāo
1866,高等,乔,qiáo
1867,高等,侨,qiáo
1868,三级,桥,qiáo
1869,五级,瞧,qiáo
1870,三级,巧,qiǎo
1871,高等,俏,qiào
1872,高等,窍,qiào
1873,高等,翘,qiào
1874,高等,撬,qiào
1875,六级,茄,qié
1876,二级,且,qiě
1877,三级,切,qiè
1878,四级,切,qiē
1879,高等,怯,qiè
1880,高等,窃,qiè
1881,高等,钦,qīn
1882,六级,侵,qīn
1883,三级,亲,qīn
1884,高等,秦,qín
1885,五级,琴,qín
1886,高等,禽,qín
1887,五级,勤,qín
1888,高等,寝,qǐn
1889,二级,青,qīng
1890,二级,轻,qīng
1891,六级,倾,qīng
1892,二级,清,qīng
1893,二级,情,qíng
1894,二级,晴,qíng
1895,高等,擎,qíng
1896,高等,顷,qǐng
1897,一级,请,qǐng
1898,三级,庆,qìng
1899,四级,穷,qióng
1900,高等,丘,qiū
1901,二级,秋,qiū
1902,高等,囚,qiú
1903,二级,求,qiú
1904,一级,球,qiú
1905,三级,区,qū
1906,高等,驱,qū
1907,高等,屈,qū
1908,高等,躯,qū
1909,四级,趋,qū
1910,六级,渠,qú
1911,五级,曲,qǔ
1912,六级,曲,qū
1913,二级,取,qǔ
1914,高等,娶,qǔ
1915,一级,去,qù
1916,四级,趣,qù
1917,四级,圈,quān
1918,高等,圈,juàn
1919,四级,权,quán
1920,二级,全,quán
1921,四级,泉,quán
1922,高等,拳,quán
1923,高等,犬,quǎn
1924,五级,劝,quàn
1925,六级,券,quàn
1926,三级,缺,quē
1927,四级,却,què
1928,高等,雀,què
1929,二级,确,què
1930,三级,裙,qún
1931,三级,群,qún
1932,二级,然,rán
1933,四级,燃,rán
1934,五级,染,rǎn
1935,高等,壤,rǎng
1936,高等,攘,rǎng
1937,高等,嚷,rǎng
1938,二级,让,ràng
1939,高等,饶,ráo
1940,五级,扰,rǎo
1941,五级,绕,rào
1942,高等,惹,rě
1943,一级,热,rè
1944,一级,人,rén
1945,高等,仁,rén
1946,五级,忍,rěn
1947,一级,认,rèn
1948,三级,任,rèn
1949,高等,韧,rèn
1950,五级,扔,rēng
1951,三级,仍,réng
1952,一级,日,rì
1953,五级,荣,róng
1954,五级,绒,róng
1955,三级,容,róng
1956,高等,溶,róng
1957,六级,融,róng
1958,高等,冗,rǒng
1959,高等,柔,róu
1960,高等,揉,róu
1961,一级,肉,ròu
1962,二级,如,rú
1963,高等,儒,rú
1964,六级,乳,rǔ
1965,高等,辱,rǔ
1966,二级,入,rù
1967,五级,软,ruǎn
1968,高等,锐,ruì
1969,高等,瑞,ruì
1970,五级,润,rùn
1971,六级,若,ruò
1972,四级,弱,ruò
1973,高等,撒,sā
1974,五级,洒,sǎ
1975,高等,萨,sà
1976,六级,塞,sāi
1977,六级,塞,sè
1978,三级,赛,sài
1979,一级,三,sān
1980,四级,伞,sǎn
1981,三级,散,sàn
1982,五级,散,sǎn
1983,高等,桑,sāng
1984,高等,嗓,sǎng
1985,六级,丧,sàng
1986,高等,骚,sāo
1987,四级,扫,sǎo
1988,高等,嫂,sǎo
1989,高等,臊,sào
1990,二级,色,sè
1991,四级,森,sēn
1992,高等,僧,sēng
1993,五级,杀,shā
1994,三级,沙,shā
1995,高等,纱,shā
1996,高等,砂,shā
1997,高等,鲨,shā
1998,五级,傻,shǎ
1999,高等,厦,shà
2000,高等,筛,shāi
2001,四级,晒,shài
2002,一级,山,shān
2003,高等,删,shān
2004,三级,衫,shān
2005,五级,扇,shān
2006,五级,扇,shàn
2007,高等,煽,shān
2008,四级,闪,shǎn
2009,三级,善,shàn
2010,高等,擅,shàn
2011,高等,膳,shàn
2012,高等,赡,shàn
2013,三级,伤,shāng
2014,一级,商,shāng
2015,四级,赏,shǎng
2016,一级,上,shàng
2017,四级,尚,shàng
2018,高等,捎,shāo
2019,四级,烧,shāo
2020,高等,梢,shāo
2021,五级,稍,shāo
2022,六级,勺,sháo
2023,一级,少,shǎo
2024,二级,少,shào
2025,一级,绍,shào
2026,高等,哨,shào
2027,高等,奢,shē
2028,六级,舌,shé
2029,五级,蛇,shé
2030,五级,舍,shě
2031,五级,舍,shè
2032,三级,设,shè
2033,三级,社,shè
2034,五级,射,shè
2035,六级,涉,shè
2036,五级,摄,shè
2037,高等,慑,shè
2038,四级,申,shēn
2039,五级,伸,shēn
2040,一级,身,shēn
2041,高等,绅,shēn
2042,三级,深,shēn
2043,一级,什,shén
2044,三级,神,shén
2045,六级,审,shěn
2046,高等,肾,shèn
2047,四级,甚,shèn
2048,高等,渗,shèn
2049,高等,慎,shèn
2050,三级,升,shēng
2051,一级,生,shēng
2052,二级,声,shēng
2053,六级,牲,shēng
2054,高等,绳,shéng
2055,二级,省,shěng
2056,高等,省,xǐng
2057,六级,圣,shèng
2058,三级,胜,shèng
2059,六级,盛,shèng
2060,高等,盛,chéng
2061,五级,剩,shèng
2062,高等,尸,shī
2063,三级,失,shī
2064,一级,师,shī
2065,四级,诗,shī
2066,高等,狮,shī
2067,四级,施,shī
2068,四级,湿,shī
2069,一级,十,shí
2070,三级,石,shí
2071,一级,时,shí
2072,一级,识,shí
2073,二级,实,shí
2074,五级,拾,shí
2075,二级,食,shí
2076,高等,蚀,shí
2077,四级,史,shǐ
2078,高等,矢,shǐ
2079,二级,使,shǐ
2080,三级,始,shǐ
2081,五级,驶,shǐ
2082,四级,士,shì
2083,高等,氏,shì
2084,二级,示,shì
2085,三级,世,shì
2086,二级,市,shì
2087,三级,式,shì
2088,三级,势,shì
2089,一级,事,shì
2090,高等,侍,shì
2091,五级,饰,shì
2092,一级,试,shì
2093,一级,视,shì
2094,五级,柿,shì
2095,一级,是,shì
2096,二级,适,shì
2097,二级,室,shì
2098,高等,逝,shì
2099,四级,释,shì
2100,高等,嗜,shì
2101,高等,誓,shì
2102,高等,匙,shi
2103,二级,收,shōu
2104,一级,手,shǒu
2105,四级,守,shǒu
2106,三级,首,shǒu
2107,五级,寿,shòu
2108,二级,受,shòu
2109,四级,授,shòu
2110,四级,售,shòu
2111,高等,兽,shòu
2112,五级,瘦,shòu
2113,一级,书,shū
2114,高等,抒,shū
2115,高等,枢,shū
2116,四级,叔,shū
2117,四级,殊,shū
2118,高等,梳,shū
2119,二级,舒,shū
2120,高等,疏,shū
2121,三级,输,shū
2122,五级,蔬,shū
2123,高等,赎,shú
2124,二级,熟,shú
2125,二级,熟,shóu
2126,四级,暑,shǔ
