No.,级别,汉字,拼音
2127,三级,属,shǔ
2128,高等,署,shǔ
2129,高等,蜀,shǔ
2130,五级,鼠,shǔ
2131,二级,数,shǔ
2132,二级,数,shù
2133,六级,薯,shǔ
2134,高等,曙,shǔ
2135,三级,术,shù
2136,三级,束,shù
2137,四级,述,shù
2138,一级,树,shù
2139,高等,竖,shù
2140,高等,恕,shù
2141,高等,墅,shù
2142,四级,刷,shuā
2143,高等,耍,shuǎ
2144,高等,衰,shuāi
2145,五级,摔,shuāi
2146,高等,甩,shuǎi
2147,四级,帅,shuài
2148,高等,拴,shuān
2149,高等,栓,shuān
2150,高等,涮,shuàn
2151,三级,双,shuāng
2152,高等,霜,shuāng
2153,六级,爽,shuǎng
2154,一级,谁,shéi
2155,一级,谁,shuí
2156,一级,水,shuǐ
2157,六级,税,shuì
2158,一级,睡,shuì
2159,二级,顺,shùn
2160,高等,瞬,shùn
2161,一级,说,shuō
2162,高等,烁,shuò
2163,五级,硕,shuò
2164,二级,司,sī
2165,高等,丝,sī
2166,五级,私,sī
2167,二级,思,sī
2168,高等,斯,sī
2169,高等,撕,sī
2170,三级,死,sǐ
2171,一级,四,sì
2172,六级,寺,sì
2173,三级,似,sì
2174,四级,似,shì
2175,高等,伺,sì
2176,高等,伺,cì
2177,高等,祀,sì
2178,高等,饲,sì
2179,高等,肆,sì
2180,四级,松,sōng
2181,高等,耸,sǒng
2182,高等,讼,sòng
2183,高等,宋,sòng
2184,一级,送,sòng
2185,高等,诵,sòng
2186,高等,颂,sòng
2187,五级,搜,sōu
2188,高等,艘,sōu
2189,高等,嗽,sòu
2190,六级,苏,sū
2191,高等,酥,sū
2192,四级,俗,sú
2193,一级,诉,sù
2194,五级,肃,sù
2195,六级,素,sù
2196,三级,速,sù
2197,五级,宿,sù
2198,四级,塑,sù
2199,高等,溯,sù
2200,四级,酸,suān
2201,高等,蒜,suàn
2202,二级,算,suàn
2203,二级,虽,suī
2204,二级,随,suí
2205,高等,髓,suǐ
2206,一级,岁,suì
2207,高等,遂,suì
2208,五级,碎,suì
2209,高等,隧,suì
2210,四级,孙,sūn
2211,五级,损,sǔn
2212,高等,嗦,suō
2213,四级,缩,suō
2214,二级,所,suǒ
2215,五级,索,suǒ
2216,五级,锁,suǒ
2217,一级,他,tā
2218,二级,它,tā
2219,一级,她,tā
2220,高等,塌,tā
2221,六级,塔,tǎ
2222,六级,踏,tà
2223,高等,胎,tāi
2224,三级,台,tái
2225,五级,抬,tái
2226,一级,太,tài
2227,高等,汰,tài
2228,二级,态,tài
2229,高等,泰,tài
2230,高等,贪,tān
2231,高等,摊,tān
2232,高等,滩,tān
2233,高等,瘫,tān
2234,高等,坛,tán
2235,三级,谈,tán
2236,高等,痰,tán
2237,高等,潭,tán
2238,五级,坦,tǎn
2239,高等,毯,tǎn
2240,六级,叹,tàn
2241,高等,炭,tàn
2242,六级,探,tàn
2243,高等,碳,tàn
2244,三级,汤,tāng
2245,高等,唐,táng
2246,二级,堂,táng
2247,高等,塘,táng
2248,高等,膛,táng
2249,三级,糖,táng
2250,高等,倘,tǎng
2251,高等,淌,tǎng
2252,四级,躺,tǎng
2253,高等,烫,tàng
2254,六级,趟,tàng
2255,高等,涛,tāo
2256,六级,掏,tāo
2257,高等,滔,tāo
2258,五级,逃,táo
2259,五级,桃,táo
2260,高等,陶,táo
2261,五级,萄,táo
2262,高等,淘,táo
2263,二级,讨,tǎo
2264,二级,套,tào
2265,二级,特,tè
2266,二级,疼,téng
2267,高等,腾,téng
2268,高等,藤,téng
2269,高等,剔,tī
2270,四级,梯,tī
2271,六级,踢,tī
2272,二级,提,tí
2273,高等,提,dī
2274,二级,题,tí
2275,一级,体,tǐ
2276,高等,屉,tì
2277,高等,剃,tì
2278,高等,涕,tì
2279,高等,惕,tì
2280,四级,替,tì
2281,一级,天,tiān
2282,六级,添,tiān
2283,六级,田,tián
2284,三级,甜,tián
2285,四级,填,tián
2286,高等,舔,tiǎn
2287,四级,挑,tiāo
2288,四级,挑,tiǎo
2289,一级,条,tiáo
2290,三级,跳,tiào
2291,四级,贴,tiē
2292,高等,帖,tiě
2293,二级,铁,tiě
2294,五级,厅,tīng
2295,一级,听,tīng
2296,高等,廷,tíng
2297,高等,亭,tíng
2298,二级,庭,tíng
2299,二级,停,tíng
2300,二级,挺,tǐng
2301,高等,艇,tǐng
2302,二级,通,tōng
2303,一级,同,tóng
2304,六级,铜,tóng
2305,四级,童,tóng
2306,四级,统,tǒng
2307,高等,捅,tǒng
2308,高等,桶,tǒng
2309,高等,筒,tǒng
2310,三级,痛,tòng
2311,五级,偷,tōu
2312,二级,头,tóu
2313,四级,投,tóu
2314,四级,透,tòu
2315,高等,凸,tū
2316,高等,秃,tū
2317,三级,突,tū
2318,一级,图,tú
2319,六级,徒,tú
2320,四级,途,tú
2321,高等,涂,tú
2322,高等,屠,tú
2323,三级,土,tǔ
2324,五级,吐,tǔ
2325,五级,吐,tù
2326,五级,兔,tù
2327,三级,团,tuán
2328,二级,推,tuī
2329,高等,颓,tuí
2330,二级,腿,tuǐ
2331,三级,退,tuì
2332,六级,吞,tūn
2333,高等,屯,tún
2334,五级,托,tuō
2335,六级,拖,tuō
2336,四级,脱,tuō
2337,高等,驮,tuó
2338,高等,妥,tuǒ
2339,高等,拓,tuò
2340,高等,唾,tuò
2341,六级,挖,wā
2342,高等,蛙,wā
2343,六级,娃,wá
2344,高等,瓦,wǎ
2345,四级,袜,wà
2346,六级,哇,wa
2347,高等,歪,wāi
2348,一级,外,wài
2349,四级,弯,wān
2350,六级,湾,wān
2351,高等,丸,wán
2352,二级,完,wán
2353,一级,玩,wán
2354,六级,顽,wán
2355,高等,挽,wǎn
2356,一级,晚,wǎn
2357,高等,惋,wǎn
2358,高等,婉,wǎn
2359,二级,碗,wǎn
2360,二级,万,wàn
2361,高等,腕,wàn
2362,高等,汪,wāng
2363,六级,亡,wáng
2364,二级,王,wáng
2365,一级,网,wǎng
2366,高等,枉,wǎng
2367,二级,往,wǎng
2368,高等,妄,wàng
2369,一级,忘,wàng
2370,六级,旺,wàng
2371,三级,望,wàng
2372,三级,危,wēi
2373,六级,威,wēi
2374,四级,微,wēi
2375,五级,违,wéi
2376,三级,围,wéi
2377,五级,唯,wéi
2378,四级,维,wéi
2379,三级,伟,wěi
2380,高等,伪,wěi
2381,四级,尾,wěi
2382,高等,纬,wěi
2383,五级,委,wěi
2384,高等,萎,wěi
2385,三级,卫,wèi
2386,二级,为,wéi
2387,二级,为,wèi
2388,四级,未,wèi
2389,二级,位,wèi
2390,二级,味,wèi
2391,高等,畏,wèi
2392,五级,胃,wèi
2393,四级,谓,wèi
2394,二级,喂,wèi
2395,五级,慰,wèi
2396,高等,魏,wèi
2397,二级,温,wēn
2398,高等,瘟,wēn
2399,一级,文,wén
2400,高等,纹,wén
2401,二级,闻,wén
2402,高等,蚊,wén
2403,高等,吻,wěn
2404,高等,紊,wěn
2405,四级,稳,wěn
2406,一级,问,wèn
2407,高等,翁,wēng
2408,高等,涡,wō
2409,高等,窝,wō
2410,一级,我,wǒ
2411,高等,沃,wò
2412,五级,卧,wò
2413,三级,握,wò
2414,六级,乌,wū
2415,五级,污,wū
2416,高等,巫,wū
2417,高等,呜,wū
2418,三级,屋,wū
2419,四级,无,wú
2420,高等,吴,wú
2421,一级,五,wǔ
2422,一级,午,wǔ
2423,六级,伍,wǔ
2424,三级,武,wǔ
2425,高等,侮,wǔ
2426,高等,捂,wǔ
2427,三级,舞,wǔ
2428,高等,勿,wù
2429,二级,务,wù
2430,二级,物,wù
2431,三级,误,wù
2432,六级,悟,wù
2433,高等,晤,wù
2434,高等,雾,wù
2435,五级,夕,xī
2436,一级,西,xī
2437,四级,吸,xī
2438,三级,希,xī
2439,高等,昔,xī
2440,五级,析,xī
2441,六级,牺,xī
2442,一级,息,xī
2443,五级,悉,xī
2444,五级,惜,xī
2445,高等,晰,xī
2446,高等,稀,xī
2447,高等,锡,xī
2448,高等,溪,xī
2449,高等,熙,xī
2450,高等,熄,xī
2451,高等,膝,xī
2452,高等,嬉,xī
2453,一级,习,xí
2454,四级,席,xí
2455,高等,袭,xí
2456,高等,媳,xí
2457,一级,洗,xǐ
2458,一级,喜,xǐ
2459,三级,戏,xì
2460,一级,系,xì
2461,四级,系,jì
2462,四级,细,xì
2463,高等,隙,xì
2464,高等,虾,xiā
2465,高等,瞎,xiā
2466,高等,侠,xiá
2467,高等,峡,xiá
2468,高等,狭,xiá
2469,高等,辖,xiá
2470,高等,霞,xiá
2471,一级,下,xià
2472,五级,吓,xià
2473,高等,吓,hè
2474,二级,夏,xià
2475,高等,仙,xiān
2476,一级,先,xiān
2477,高等,纤,xiān
2478,高等,掀,xiān
2479,四级,鲜,xiān
2480,五级,闲,xián
2481,高等,贤,xián
2482,高等,弦,xián
2483,四级,咸,xián
2484,高等,衔,xián
2485,六级,嫌,xián
2486,三级,显,xiǎn
2487,三级,险,xiǎn
2488,四级,县,xiàn
2489,一级,现,xiàn
2490,四级,限,xiàn
2491,三级,线,xiàn
2492,高等,宪,xiàn
2493,六级,陷,xiàn
2494,高等,馅,xiàn
2495,高等,羡,xiàn
2496,五级,献,xiàn
2497,高等,腺,xiàn
2498,三级,乡,xiāng
2499,二级,相,xiāng
2500,二级,相,xiàng
2501,三级,香,xiāng
2502,高等,厢,xiāng
2503,三级,箱,xiāng
2504,高等,镶,xiāng
2505,五级,详,xiáng
2506,六级,祥,xiáng
2507,高等,翔,xiáng
2508,五级,享,xiǎng
2509,二级,响,xiǎng
2510,一级,想,xiǎng
2511,二级,向,xiàng
2512,四级,项,xiàng
2513,高等,巷,xiàng
2514,三级,象,xiàng
2515,二级,像,xiàng
2516,高等,橡,xiàng
2517,高等,削,xiāo
2518,高等,削,xuē
2519,三级,消,xiāo
2520,高等,宵,xiāo
2521,高等,萧,xiāo
2522,四级,销,xiāo
2523,高等,潇,xiāo
2524,高等,淆,xiáo
2525,一级,小,xiǎo
2526,六级,晓,xiǎo
2527,高等,孝,xiào
2528,高等,肖,xiào
2529,一级,校,xiào
2530,一级,笑,xiào
2531,三级,效,xiào
2532,高等,啸,xiào
2533,一级,些,xiē
2534,五级,歇,xiē
2535,五级,协,xié
2536,高等,邪,xié
2537,六级,胁,xié
2538,高等,挟,xié
2539,五级,斜,xié
2540,六级,谐,xié
2541,高等,携,xié
2542,二级,鞋,xié
2543,一级,写,xiě
2544,三级,血,xiě
2545,六级,血,xuè
2546,高等,泄,xiè
2547,高等,泻,xiè
2548,高等,卸,xiè
2549,高等,屑,xiè
2550,六级,械,xiè
2551,一级,谢,xiè
2552,高等,懈,xiè
2553,二级,心,xīn
2554,高等,芯,xīn
2555,五级,辛,xīn
2556,五级,欣,xīn
2557,一级,新,xīn
2558,六级,薪,xīn
2559,高等,馨,xīn
2560,二级,信,xìn
2561,高等,衅,xìn
2562,一级,星,xīng
2563,高等,猩,xīng
2564,高等,腥,xīng
2565,高等,刑,xíng
2566,一级,行,xíng
2567,二级,行,háng
2568,三级,形,xíng
2569,四级,型,xíng
2570,四级,醒,xǐng
2571,一级,兴,xìng
2572,四级,兴,xīng
2573,三级,幸,xìng
2574,三级,性,xìng
2575,二级,姓,xìng
2576,六级,凶,xiōng
2577,四级,兄,xiōng
2578,高等,汹,xiōng
2579,四级,胸,xiōng
2580,五级,雄,xióng
2581,五级,熊,xióng
2582,一级,休,xiū
2583,三级,修,xiū
2584,高等,羞,xiū
2585,高等,朽,xiǔ
2586,四级,秀,xiù
2587,六级,袖,xiù
2588,高等,绣,xiù
2589,高等,锈,xiù
2590,高等,嗅,xiù
2591,二级,须,xū
2592,五级,虚,xū
2593,高等,墟,xū
2594,三级,需,xū
2595,高等,徐,xú
2596,二级,许,xǔ
2597,高等,旭,xù
2598,四级,序,xù
2599,高等,叙,xù
2600,高等,恤,xù
2601,高等,酗,xù
2602,六级,绪,xù
2603,三级,续,xù
2604,高等,絮,xù
2605,高等,婿,xù
2606,高等,蓄,xù
2607,三级,宣,xuān
2608,高等,喧,xuān
2609,高等,玄,xuán
2610,六级,悬,xuán
2611,六级,旋,xuán
2612,二级,选,xuǎn
2613,高等,炫,xuàn
2614,高等,靴,xuē
2615,高等,穴,xué
2616,一级,学,xué
2617,二级,雪,xuě
2618,高等,勋,xūn
2619,高等,熏,xūn
2620,高等,旬,xún
2621,四级,寻,xún
2622,高等,巡,xún
2623,五级,询,xún
2624,六级,循,xún
2625,三级,训,xùn
2626,六级,讯,xùn
2627,高等,汛,xùn
2628,四级,迅,xùn
2629,高等,驯,xùn
2630,高等,逊,xùn
2631,高等,丫,yā
2632,三级,压,yā
2633,五级,押,yā
2634,高等,鸦,yā
2635,五级,鸭,yā
2636,四级,牙,yá
2637,高等,芽,yá
2638,高等,崖,yá
2639,高等,涯,yá
2640,高等,哑,yǎ
2641,高等,雅,yǎ
2642,四级,亚,yà
2643,高等,讶,yà
2644,四级,呀,ya
2645,高等,咽,yān
2646,高等,咽,yàn
2647,高等,咽,yè
2648,三级,烟,yān
2649,高等,淹,yān
2650,四级,延,yán
2651,四级,严,yán
2652,二级,言,yán
2653,高等,岩,yán
2654,六级,炎,yán
2655,六级,沿,yán
2656,四级,研,yán
2657,四级,盐,yán
2658,高等,阎,yán
2659,二级,颜,yán
2660,高等,衍,yǎn
2661,高等,掩,yǎn
2662,二级,眼,yǎn
2663,三级,演,yǎn
2664,五级,厌,yàn
2665,五级,艳,yàn
2666,六级,宴,yàn
2667,三级,验,yàn
2668,高等,雁,yàn
2669,高等,焰,yàn
2670,高等,燕,yàn
2671,五级,央,yāng
2672,高等,殃,yāng
2673,高等,秧,yāng
2674,四级,扬,yáng
2675,三级,羊,yáng
2676,二级,阳,yáng
2677,高等,杨,yáng
2678,六级,洋,yáng
2679,六级,仰,yǎng
2680,二级,养,yǎng
2681,六级,氧,yǎng
2682,高等,痒,yǎng
2683,一级,样,yàng
2684,高等,漾,yàng
2685,高等,妖,yāo
2686,四级,腰,yāo
2687,五级,邀,yāo
2688,高等,窑,yáo
2689,高等,谣,yáo
2690,四级,摇,yáo
2691,高等,遥,yáo
2692,五级,咬,yǎo
2693,二级,药,yào
2694,一级,要,yào
2695,二级,要,yāo
2696,高等,钥,yào
2697,六级,耀,yào
2698,高等,椰,yē
2699,一级,爷,yé
2700,一级,也,yě
2701,高等,冶,yě
2702,六级,野,yě
2703,二级,业,yè
2704,四级,叶,yè
2705,一级,页,yè
2706,二级,夜,yè
2707,六级,液,yè
2708,一级,一,yī
2709,高等,伊,yī
2710,一级,衣,yī
2711,一级,医,yī
2712,四级,依,yī
2713,六级,仪,yí
2714,高等,夷,yí
2715,高等,怡,yí
2716,二级,宜,yí
2717,四级,姨,yí
2718,四级,移,yí
2719,四级,遗,yí
2720,四级,疑,yí
2721,五级,乙,yǐ
2722,二级,已,yǐ
2723,二级,以,yǐ
2724,高等,矣,yǐ
2725,高等,倚,yǐ
2726,二级,椅,yǐ
2727,二级,亿,yì
2728,三级,义,yì
2729,三级,艺,yì
2730,五级,忆,yì
2731,三级,议,yì
2732,高等,屹,yì
2733,高等,亦,yì
2734,六级,异,yì
2735,高等,抑,yì
2736,高等,役,yì
2737,四级,译,yì
2738,三级,易,yì
2739,高等,绎,yì
2740,高等,弈,yì
2741,高等,疫,yì
2742,四级,益,yì
2743,五级,谊,yì
2744,高等,逸,yì
2745,高等,裔,yì
2746,二级,意,yì
2747,高等,溢,yì
2748,高等,毅,yì
2749,高等,翼,yì
2750,二级,因,yīn
2751,二级,阴,yīn
2752,高等,荫,yīn
2753,二级,音,yīn
2754,高等,姻,yīn
2755,高等,殷,yīn
2756,二级,银,yín
2757,四级,引,yǐn
2758,五级,饮,yǐn
2759,六级,隐,yǐn
2760,高等,瘾,yǐn
2761,二级,印,yìn
2762,二级,应,yīng
2763,二级,应,yìng
2764,二级,英,yīng
2765,高等,婴,yīng
2766,高等,鹰,yīng
2767,二级,迎,yíng
2768,高等,荧,yíng
2769,高等,盈,yíng
2770,高等,莹,yíng
2771,三级,营,yíng
2772,高等,蝇,yíng
2773,三级,赢,yíng
2774,高等,颖,yǐng
2775,一级,影,yǐng
2776,四级,映,yìng
2777,五级,硬,yìng
2778,高等,佣,yōng
2779,五级,拥,yōng
2780,高等,庸,yōng
2781,二级,永,yǒng
2782,高等,咏,yǒng
2783,三级,泳,yǒng
2784,四级,勇,yǒng
2785,高等,涌,yǒng
2786,高等,踊,yǒng
2787,一级,用,yòng
2788,三级,优,yōu
2789,六级,忧,yōu
2790,五级,幽,yōu
2791,高等,悠,yōu
2792,五级,尤,yóu
2793,二级,由,yóu
2794,三级,邮,yóu
2795,五级,犹,yóu
2796,二级,油,yóu
2797,二级,游,yóu
2798,一级,友,yǒu
2799,一级,有,yǒu
2800,二级,又,yòu
2801,一级,右,yòu
2802,四级,幼,yòu
2803,高等,佑,yòu
2804,高等,诱,yòu
2805,二级,于,yú
2806,四级,余,yú
2807,二级,鱼,yú
2808,六级,娱,yú
2809,高等,渔,yú
2810,高等,逾,yú
2811,高等,渝,yú
2812,六级,愉,yú
2813,高等,愚,yú
2814,高等,舆,yú
2815,四级,与,yǔ
2816,六级,予,yǔ
2817,高等,屿,yǔ
2818,六级,宇,yǔ
2819,五级,羽,yǔ
2820,一级,雨,yǔ
2821,一级,语,yǔ
2822,四级,玉,yù
2823,高等,驭,yù
2824,高等,吁,yù
2825,高等,郁,yù
2826,二级,育,yù
2827,高等,狱,yù
2828,高等,浴,yù
2829,三级,预,yù
2830,五级,域,yù
2831,六级,欲,yù
2832,四级,遇,yù
2833,高等,喻,yù
2834,高等,御,yù
2835,高等,寓,yù
2836,高等,裕,yù
2837,高等,愈,yù
2838,六级,誉,yù
2839,五级,豫,yù
2840,高等,冤,yuān
2841,高等,渊,yuān
2842,一级,元,yuán
2843,二级,园,yuán
2844,三级,员,yuán
2845,高等,袁,yuán
2846,二级,原,yuán
2847,四级,圆,yuán
2848,六级,援,yuán
2849,六级,缘,yuán
2850,四级,源,yuán
2851,一级,远,yuǎn
2852,五级,怨,yuàn
2853,一级,院,yuàn
2854,二级,愿,yuàn
2855,高等,曰,yuē
2856,三级,约,yuē
2857,一级,月,yuè
2858,高等,岳,yuè
2859,四级,阅,yuè
2860,高等,悦,yuè
2861,六级,跃,yuè
2862,二级,越,yuè
2863,高等,粤,yuè
2864,六级,晕,yūn
2865,二级,云,yún
2866,高等,匀,yún
2867,六级,允,yǔn
2868,高等,陨,yǔn
2869,高等,孕,yùn
2870,二级,运,yùn
2871,高等,酝,yùn
2872,高等,韵,yùn
2873,高等,蕴,yùn
2874,三级,杂,zá
2875,高等,砸,zá
2876,五级,灾,zāi
2877,高等,栽,zāi
2878,五级,仔,zǎi
2879,五级,仔,zǐ
2880,四级,载,zài
2881,五级,载,zǎi
2882,高等,宰,zǎi
2883,一级,再,zài
2884,一级,在,zài
2885,二级,咱,zán
2886,高等,攒,zǎn
2887,五级,暂,zàn
2888,四级,赞,zàn
2889,高等,赃,zāng
2890,二级,脏,zāng
2891,六级,脏,zàng
2892,高等,葬,zàng
2893,六级,遭,zāo
2894,五级,糟,zāo
2895,高等,凿,záo
2896,一级,早,zǎo
2897,高等,枣,zǎo
2898,二级,澡,zǎo
2899,高等,藻,zǎo
2900,高等,皂,zào
2901,高等,灶,zào
2902,三级,造,zào
2903,高等,噪,zào
2904,高等,燥,zào
2905,高等,躁,zào
2906,四级,则,zé
2907,三级,责,zé
2908,四级,择,zé
2909,高等,泽,zé
2910,高等,贼,zéi
2911,一级,怎,zěn
2912,三级,增,zēng
2913,五级,赠,zèng
2914,六级,扎,zhā
2915,高等,扎,zā
2916,高等,扎,zhá
2917,高等,渣,zhā
2918,高等,闸,zhá
2919,高等,眨,zhǎ
2920,高等,诈,zhà
2921,六级,炸,zhà
2922,高等,炸,zhá
2923,高等,榨,zhà
2924,五级,摘,zhāi
2925,六级,宅,zhái
2926,高等,窄,zhǎi
2927,六级,债,zhài
2928,高等,寨,zhài
2929,高等,沾,zhān
2930,高等,粘,zhān
2931,高等,瞻,zhān
2932,高等,斩,zhǎn
2933,高等,盏,zhǎn
2934,三级,展,zhǎn
2935,高等,崭,zhǎn
2936,二级,占,zhàn
2937,四级,战,zhàn
2938,一级,站,zhàn
2939,高等,绽,zhàn
2940,高等,蘸,zhàn
2941,三级,张,zhāng
2942,三级,章,zhāng
2943,高等,彰,zhāng
2944,五级,涨,zhǎng
2945,五级,掌,zhǎng
2946,四级,丈,zhàng
2947,高等,仗,zhàng
2948,高等,杖,zhàng
2949,高等,帐,zhàng
2950,六级,账,zhàng
2951,高等,胀,zhàng
2952,六级,障,zhàng
2953,四级,招,zhāo
2954,一级,找,zhǎo
2955,高等,沼,zhǎo
2956,四级,召,zhào
2957,高等,兆,zhào
2958,高等,赵,zhào
2959,二级,照,zhào
2960,高等,罩,zhào
2961,高等,肇,zhào
2962,高等,遮,zhē
2963,四级,折,zhé
2964,高等,折,zhē
2965,六级,哲,zhé
2966,高等,辙,zhé
2967,二级,者,zhě
2968,一级,这,zhè
2969,高等,浙,zhè
2970,一级,着,zhe
2971,四级,着,zháo
2972,高等,着,zhuó
2973,高等,贞,zhēn
2974,四级,针,zhēn
2975,高等,侦,zhēn
2976,五级,珍,zhēn
2977,一级,真,zhēn
2978,五级,诊,zhěn
2979,高等,枕,zhěn
2980,四级,阵,zhèn
2981,五级,振,zhèn
2982,五级,震,zhèn
2983,六级,镇,zhèn
2984,三级,争,zhēng
2985,四级,征,zhēng
2986,高等,睁,zhēng
2987,高等,筝,zhēng
2988,高等,蒸,zhēng
2989,高等,拯,zhěng
2990,三级,整,zhěng
2991,一级,正,zhèng
2992,三级,证,zhèng
2993,高等,郑,zhèng
2994,四级,政,zhèng
2995,五级,挣,zhèng
2996,高等,挣,zhēng
2997,六级,症,zhèng
2998,四级,之,zhī
2999,三级,支,zhī
3000,三级,汁,zhī
3001,高等,芝,zhī
3002,六级,枝,zhī
3003,一级,知,zhī
3004,高等,肢,zhī
3005,五级,织,zhī
3006,高等,脂,zhī
3007,五级,执,zhí
3008,二级,直,zhí
3009,三级,值,zhí
3010,三级,职,zhí
3011,四级,植,zhí
3012,六级,殖,zhí
3013,三级,止,zhǐ
3014,二级,只,zhǐ
3015,三级,只,zhī
3016,高等,旨,zhǐ
3017,四级,址,zhǐ
3018,二级,纸,zhǐ
3019,三级,指,zhǐ
3020,三级,至,zhì
3021,三级,志,zhì
3022,高等,帜,zhì
3023,三级,制,zhì
3024,四级,质,zhì
3025,四级,治,zhì
3026,高等,峙,zhì
3027,高等,挚,zhì
3028,四级,致,zhì
3029,高等,秩,zhì
3030,高等,窒,zhì
3031,四级,智,zhì
3032,高等,滞,zhì
3033,四级,置,zhì
3034,高等,稚,zhì
3035,一级,中,zhōng
3036,四级,中,zhòng
3037,六级,忠,zhōng
3038,三级,终,zhōng
3039,二级,钟,zhōng
3040,高等,衷,zhōng
3041,六级,肿,zhǒng
3042,三级,种,zhǒng
3043,四级,种,zhòng
3044,高等,仲,zhòng
3045,三级,众,zhòng
3046,一级,重,zhòng
3047,二级,重,chóng
3048,高等,舟,zhōu
3049,高等,州,zhōu
3050,二级,周,zhōu
3051,高等,洲,zhōu
3052,六级,粥,zhōu
3053,高等,轴,zhóu
3054,高等,宙,zhòu
3055,高等,昼,zhòu
3056,高等,皱,zhòu
3057,高等,骤,zhòu
3058,高等,朱,zhū
3059,五级,珠,zhū
3060,高等,株,zhū
3061,六级,诸,zhū
3062,三级,猪,zhū
3063,五级,竹,zhú
3064,四级,逐,zhú
3065,高等,烛,zhú
3066,二级,主,zhǔ
3067,高等,拄,zhǔ
3068,六级,煮,zhǔ
3069,高等,嘱,zhǔ
3070,高等,瞩,zhǔ
3071,二级,助,zhù
3072,一级,住,zhù
3073,高等,贮,zhù
3074,三级,注,zhù
3075,六级,驻,zhù
3076,六级,柱,zhù
3077,三级,祝,zhù
3078,四级,著,zhù
3079,高等,铸,zhù
3080,五级,筑,zhù
3081,三级,抓,zhuā
3082,高等,爪,zhuǎ
3083,高等,拽,zhuài
3084,三级,专,zhuān
3085,高等,砖,zhuān
3086,三级,转,zhuǎn
3087,六级,转,zhuàn
3088,六级,赚,zhuàn
3089,高等,撰,zhuàn
3090,高等,妆,zhuāng
3091,六级,庄,zhuāng
3092,高等,桩,zhuāng
3093,二级,装,zhuāng
3094,六级,壮,zhuàng
3095,三级,状,zhuàng
3096,五级,撞,zhuàng
3097,高等,幢,zhuàng
3098,三级,追,zhuī
3099,高等,坠,zhuì
3100,高等,缀,zhuì
3101,一级,准,zhǔn
3102,高等,拙,zhuō
3103,六级,捉,zhuō
3104,一级,桌,zhuō
3105,高等,灼,zhuó
3106,高等,卓,zhuó
3107,高等,浊,zhuó
3108,高等,酌,zhuó
3109,高等,琢,zhuó
3110,六级,咨,zī
3111,高等,姿,zī
3112,高等,兹,zī
3113,三级,资,zī
3114,高等,滋,zī
3115,一级,子,zǐ
3116,五级,紫,zǐ
3117,二级,自,zì
3118,一级,字,zì
3119,六级,宗,zōng
3120,四级,综,zōng
3121,高等,踪,zōng
3122,三级,总,zǒng
3123,六级,纵,zòng
3124,高等,粽,zòng
3125,一级,走,zǒu
3126,六级,奏,zòu
3127,高等,揍,zòu
3128,二级,租,zū
3129,三级,足,zú
3130,高等,卒,zú
3131,三级,族,zú
3132,四级,阻,zǔ
3133,二级,组,zǔ
3134,六级,祖,zǔ
3135,六级,钻,zuān
3136,高等,钻,zuàn
3137,二级,嘴,zuǐ
3138,一级,最,zuì
3139,六级,罪,zuì
3140,五级,醉,zuì
3141,五级,尊,zūn
3142,五级,遵,zūn
3143,一级,昨,zuó
3144,一级,左,zuǒ
3145,高等,佐,zuǒ
3146,一级,作,zuò
3147,一级,坐,zuò
3148,二级,座,zuò
3149,一级,做,zuò
