No.,级别,音节,代表字
1,一级,ài,爱
2,一级,bā,八
3,一级,bà,爸
4,一级,ba,吧
5,一级,bái,白
6,一级,bǎi,百
7,一级,bān,班
8,一级,bàn,半
9,一级,bāng,帮
10,一级,bāo,包
11,一级,bēi,杯
12,一级,běi,北
13,一级,bèi,备
14,一级,běn,本
15,一级,bǐ,比
16,一级,biān,边
17,一级,bié,别
18,一级,bìng,病
19,一级,bù,不
20,一级,cài,菜
21,一级,chá,茶
22,一级,chà,差
23,一级,cháng,常
24,一级,chǎng,场
25,一级,chàng,唱
26,一级,chē,车
27,一级,chī,吃
28,一级,chū,出
29,一级,chuān,穿
30,一级,chuáng,床
31,一级,cì,次
32,一级,cóng,从
33,一级,cuò,错
34,一级,dá,答
35,一级,dǎ,打
36,一级,dà,大
37,一级,dàn,蛋
38,一级,dào,到
39,一级,dé,得
40,一级,de,的
41,一级,děng,等
42,一级,dì,弟
43,一级,diǎn,点
44,一级,diàn,电
45,一级,dōng,东
46,一级,dòng,动
47,一级,dōu,都
48,一级,dú,读
49,一级,duì,对
50,一级,duō,多
51,一级,è,饿
52,一级,ér,儿
53,一级,èr,二
54,一级,fàn,饭
55,一级,fāng,方
56,一级,fáng,房
57,一级,fàng,放
58,一级,fēi,非
59,一级,fēn,分
60,一级,fēng,风
61,一级,fú,服
62,一级,gān,干
63,一级,gàn,干
64,一级,gāo,高
65,一级,gào,告
66,一级,gē,哥
67,一级,gè,个
68,一级,gěi,给
69,一级,gēn,跟
70,一级,gōng,工
71,一级,guān,关
72,一级,guǎn,馆
73,一级,guì,贵
74,一级,guó,国
75,一级,guǒ,果
76,一级,guò,过
77,一级,hái,孩
78,一级,hàn,汉
79,一级,hǎo,好
80,一级,hào,号
81,一级,hē,喝
82,一级,hé,和
83,一级,hěn,很
84,一级,hòu,后
85,一级,huā,花
86,一级,huà,话
87,一级,huài,坏
88,一级,huān,欢
89,一级,huán,还
90,一级,huí,回
91,一级,huì,会
92,一级,huǒ,火
93,一级,jī,机
94,一级,jǐ,几
95,一级,jì,记
96,一级,jiā,家
97,一级,jià,假
98,一级,jiān,间
99,一级,jiàn,见
100,一级,jiāo,教
101,一级,jiào,叫
102,一级,jiě,姐
103,一级,jiè,介
104,一级,jīn,今
105,一级,jìn,进
106,一级,jīng,京
107,一级,jìng,净
108,一级,jiǔ,九
109,一级,jiù,就
110,一级,jué,觉
111,一级,kāi,开
112,一级,kàn,看
113,一级,kǎo,考
114,一级,kě,渴
115,一级,kè,课
116,一级,kǒu,口
117,一级,kuài,快
118,一级,lái,来
119,一级,lǎo,老
120,一级,le,了
121,一级,lèi,累
122,一级,lěng,冷
123,一级,lǐ,里
124,一级,liǎng,两
125,一级,líng,零
126,一级,liù,六
127,一级,lóu,楼
128,一级,lù,路
129,一级,mā,妈
130,一级,mǎ,马
131,一级,ma,吗
132,一级,mǎi,买
133,一级,màn,慢
134,一级,máng,忙
135,一级,máo,毛
136,一级,me,么
137,一级,méi,没
138,一级,mèi,妹
139,一级,mén,门
140,一级,men,们
141,一级,mǐ,米
142,一级,miàn,面
143,一级,míng,名
144,一级,ná,拿
145,一级,nǎ,哪
146,一级,nà,那
147,一级,nǎi,奶
148,一级,nán,男
149,一级,nǎo,脑
150,一级,ne,呢
151,一级,néng,能
152,一级,nǐ,你
153,一级,nián,年
154,一级,nín,您
155,一级,niú,牛
156,一级,nǚ,女
157,一级,páng,旁
158,一级,pǎo,跑
159,一级,péng,朋
160,一级,piào,票
161,一级,qī,七
162,一级,qǐ,起
163,一级,qì,气
164,一级,qián,前
165,一级,qǐng,请
166,一级,qiú,球
167,一级,qù,去
168,一级,rè,热
169,一级,rén,人
170,一级,rèn,认
171,一级,rì,日
172,一级,ròu,肉
173,一级,sān,三
174,一级,shān,山
175,一级,shāng,商
176,一级,shàng,上
177,一级,shǎo,少
178,一级,shào,绍
179,一级,shéi,谁
180,一级,shēn,身
181,一级,shén,什
182,一级,shēng,生
183,一级,shī,师
184,一级,shí,十
185,一级,shì,是
186,一级,shǒu,手
187,一级,shū,书
188,一级,shù,树
189,一级,shuí,谁
190,一级,shuǐ,水
191,一级,shuì,睡
192,一级,shuō,说
193,一级,sì,四
194,一级,sòng,送
195,一级,sù,诉
196,一级,suì,岁
197,一级,tā,他
198,一级,tài,太
199,一级,tǐ,体
200,一级,tiān,天
201,一级,tiáo,条
202,一级,tīng,听
203,一级,tóng,同
204,一级,tú,图
205,一级,wài,外
206,一级,wán,玩
207,一级,wǎn,晚
208,一级,wǎng,网
209,一级,wàng,忘
210,一级,wén,文
211,一级,wèn,问
212,一级,wǒ,我
213,一级,wǔ,五
214,一级,xī,西
215,一级,xí,习
216,一级,xǐ,洗
217,一级,xì,系
218,一级,xià,下
219,一级,xiān,先
220,一级,xiàn,现
221,一级,xiǎng,想
222,一级,xiǎo,小
223,一级,xiào,笑
224,一级,xiē,些
225,一级,xiě,写
226,一级,xiè,谢
227,一级,xīn,新
228,一级,xīng,星
229,一级,xíng,行
230,一级,xìng,兴
231,一级,xiū,休
232,一级,xué,学
233,一级,yàng,样
234,一级,yào,要
235,一级,yé,爷
236,一级,yě,也
237,一级,yè,页
238,一级,yī,一
239,一级,yǐng,影
240,一级,yòng,用
241,一级,yǒu,有
242,一级,yòu,右
243,一级,yǔ,雨
244,一级,yuán,元
245,一级,yuǎn,远
246,一级,yuàn,院
247,一级,yuè,月
248,一级,zài,在
249,一级,zǎo,早
250,一级,zěn,怎
251,一级,zhàn,站
252,一级,zhǎo,找
253,一级,zhè,这
254,一级,zhe,着
255,一级,zhēn,真
256,一级,zhèng,正
257,一级,zhī,知
258,一级,zhōng,中
259,一级,zhòng,重
260,一级,zhù,住
261,一级,zhǔn,准
262,一级,zhuō,桌
263,一级,zǐ,子
264,一级,zì,字
265,一级,zǒu,走
266,一级,zuì,最
267,一级,zuó,昨
268,一级,zuǒ,左
269,一级,zuò,坐
270,二级,a,啊
271,二级,ān,安
272,二级,bǎn,板
273,二级,bǎo,饱
274,二级,bào,报
275,二级,bì,必
276,二级,biàn,变
277,二级,biǎo,表
278,二级,cái,才
279,二级,cān,参
280,二级,cǎo,草
281,二级,céng,层
282,二级,chāo,超
283,二级,chén,晨
284,二级,chēng,称
285,二级,chéng,成
286,二级,chóng,重
287,二级,chǔ,楚
288,二级,chù,处
289,二级,chuán,船
290,二级,chuī,吹
291,二级,chūn,春
292,二级,cí,词
293,二级,dā,答
294,二级,dài,带
295,二级,dān,单
296,二级,dāng,当
297,二级,dǎo,倒
298,二级,dēng,灯
299,二级,dī,低
300,二级,diào,掉
301,二级,dìng,定
302,二级,dǒng,懂
303,二级,dù,度
304,二级,duǎn,短
305,二级,duàn,段
306,二级,fā,发
307,二级,fǎ,法
308,二级,fà,发
309,二级,fèn,份
310,二级,fù,复
311,二级,gāi,该
312,二级,gǎi,改
313,二级,gǎn,感
314,二级,gāng,刚
315,二级,gèng,更
316,二级,gòng,共
317,二级,gǒu,狗
318,二级,gòu,够
319,二级,gù,故
320,二级,guàn,惯
321,二级,guǎng,广
322,二级,guo,过
323,二级,hǎi,海
324,二级,hǎn,喊
325,二级,háng,行
326,二级,hēi,黑
327,二级,hóng,红
328,二级,hū,忽
329,二级,hú,湖
330,二级,hù,护
331,二级,huàn,换
332,二级,huáng,黄
333,二级,huó,活
334,二级,huò,或
335,二级,jí,级
336,二级,jiǎ,假
337,二级,jiǎn,检
338,二级,jiǎng,讲
339,二级,jiǎo,角
340,二级,jiē,接
341,二级,jié,节
342,二级,jǔ,举
343,二级,jù,句
344,二级,kǎ,卡
345,二级,kāng,康
346,二级,kào,靠
347,二级,kē,科
348,二级,kōng,空
349,二级,kòng,空
350,二级,kū,哭
351,二级,lā,拉
352,二级,lán,蓝
353,二级,lè,乐
354,二级,lí,离
355,二级,lì,利
356,二级,liǎn,脸
357,二级,liàn,练
358,二级,liáng,凉
359,二级,liàng,亮
360,二级,liú,留
361,二级,lǚ,旅
362,二级,lǜ,绿
363,二级,lùn,论
364,二级,mài,卖
365,二级,mǎn,满
366,二级,māo,猫
367,二级,mò,末
368,二级,mù,目
369,二级,niǎo,鸟
370,二级,nòng,弄
371,二级,nǔ,努
372,二级,pá,爬
373,二级,pà,怕
374,二级,pái,排
375,二级,pèng,碰
376,二级,piān,篇
377,二级,pián,便
378,二级,piàn,片
379,二级,píng,平
380,二级,pǔ,普
381,二级,qí,其
382,二级,qiān,千
383,二级,qiáng,墙
384,二级,qiě,且
385,二级,qīng,轻
386,二级,qíng,情
387,二级,qiū,秋
388,二级,qǔ,取
389,二级,quán,全
390,二级,què,确
391,二级,rán,然
392,二级,ràng,让
393,二级,rú,如
394,二级,rù,入
395,二级,sè,色
396,二级,shěng,省
397,二级,shǐ,使
398,二级,shōu,收
399,二级,shóu,熟
400,二级,shòu,受
401,二级,shú,熟
402,二级,shǔ,数
403,二级,shùn,顺
404,二级,sī,思
405,二级,suàn,算
406,二级,suī,虽
407,二级,suí,随
408,二级,suǒ,所
409,二级,táng,堂
410,二级,tǎo,讨
411,二级,tào,套
412,二级,tè,特
413,二级,téng,疼
414,二级,tí,题
415,二级,tiě,铁
416,二级,tíng,停
417,二级,tǐng,挺
418,二级,tōng,通
419,二级,tóu,头
420,二级,tuī,推
421,二级,tuǐ,腿
422,二级,wàn,万
423,二级,wáng,王
424,二级,wéi,为
425,二级,wèi,位
426,二级,wēn,温
427,二级,wù,物
428,二级,xiāng,相
429,二级,xiàng,向
430,二级,xié,鞋
431,二级,xìn,信
432,二级,xū,须
433,二级,xǔ,许
434,二级,xuǎn,选
435,二级,xuě,雪
436,二级,yán,言
437,二级,yǎn,眼
438,二级,yáng,阳
439,二级,yǎng,养
440,二级,yāo,要
441,二级,yí,宜
442,二级,yǐ,以
443,二级,yì,意
444,二级,yīn,因
445,二级,yín,银
446,二级,yìn,印
447,二级,yīng,应
448,二级,yíng,迎
449,二级,yìng,应
450,二级,yǒng,永
451,二级,yóu,由
452,二级,yú,鱼
453,二级,yù,育
454,二级,yún,云
455,二级,yùn,运
456,二级,zán,咱
457,二级,zāng,脏
458,二级,zhǎng,长
459,二级,zhào,照
460,二级,zhě,者
461,二级,zhí,直
462,二级,zhǐ,纸
463,二级,zhōu,周
464,二级,zhǔ,主
465,二级,zhuāng,装
466,二级,zū,租
467,二级,zǔ,组
468,二级,zuǐ,嘴
469,三级,àn,按
470,三级,bǎ,把
471,三级,biāo,标
472,三级,bō,播
473,三级,bǔ,补
474,三级,cǎi,采
475,三级,chǎn,产
476,三级,cháo,朝
477,三级,chǎo,吵
478,三级,chèn,衬
479,三级,chí,持
480,三级,chōng,充
481,三级,chú,除
482,三级,chuàng,创
483,三级,cǐ,此
484,三级,cūn,村
485,三级,cún,存
486,三级,dāo,刀
487,三级,dǐ,底
488,三级,dū,都
489,三级,dùn,顿
490,三级,fán,烦
491,三级,fǎn,反
492,三级,fǎng,访
493,三级,fèi,费
494,三级,fǒu,否
495,三级,fū,夫
496,三级,gài,概
497,三级,gé,格
498,三级,gū,姑
499,三级,gǔ,古
500,三级,guà,挂
501,三级,guài,怪
502,三级,guāng,光
503,三级,guī,规
504,三级,hā,哈
505,三级,hài,害
506,三级,huá,华
507,三级,hūn,婚
508,三级,jiāng,将
509,三级,jǐn,仅
510,三级,jǐng,景
511,三级,kā,咖
512,三级,kǒng,恐
513,三级,kǔ,苦
514,三级,kù,裤
515,三级,kuàng,况
516,三级,kùn,困
517,三级,làng,浪
518,三级,lián,连
519,三级,liǎo,了
520,三级,liè,烈
521,三级,lǐng,领
522,三级,lìng,另
523,三级,lóng,龙
524,三级,luàn,乱
525,三级,luò,落
526,三级,má,麻
527,三级,mào,冒
528,三级,měi,每
529,三级,mí,迷
530,三级,mín,民
531,三级,mìng,命
532,三级,mǒu,某
533,三级,mǔ,母
534,三级,nèi,内
535,三级,niàn,念
536,三级,niáng,娘
537,三级,nóng,农
538,三级,nuǎn,暖
539,三级,pāi,拍
540,三级,pài,派
541,三级,pàn,判
542,三级,pàng,胖
543,三级,pèi,配
544,三级,pī,批
545,三级,pí,皮
546,三级,pǐn,品
547,三级,pò,破
548,三级,qiáo,桥
549,三级,qiǎo,巧
550,三级,qiè,切
551,三级,qīn,亲
552,三级,qìng,庆
553,三级,qū,区
554,三级,quē,缺
555,三级,qún,群
556,三级,réng,仍
557,三级,róng,容
558,三级,sài,赛
559,三级,sàn,散
560,三级,shā,沙
561,三级,shàn,善
562,三级,shè,社
563,三级,shèng,胜
564,三级,shuāng,双
565,三级,sǐ,死
566,三级,tái,台
567,三级,tán,谈
568,三级,tāng,汤
569,三级,tián,甜
570,三级,tiào,跳
571,三级,tòng,痛
572,三级,tū,突
573,三级,tǔ,土
574,三级,tuán,团
575,三级,tuì,退
576,三级,wēi,危
577,三级,wěi,伟
578,三级,wò,握
579,三级,wū,屋
580,三级,xiǎn,显
581,三级,xiāo,消
582,三级,xù,续
583,三级,xuān,宣
584,三级,xùn,训
585,三级,yā,压
586,三级,yān,烟
587,三级,yàn,验
588,三级,yōu,优
589,三级,yuē,约
590,三级,zá,杂
591,三级,zào,造
592,三级,zé,责
593,三级,zēng,增
594,三级,zhǎn,展
595,三级,zhāng,张
596,三级,zhēng,争
597,三级,zhěng,整
598,三级,zhì,志
599,三级,zhǒng,种
600,三级,zhū,猪
601,三级,zhuā,抓
602,三级,zhuān,专
603,三级,zhuǎn,转
604,三级,zhuàng,状
605,三级,zhuī,追
606,三级,zī,资
607,三级,zǒng,总
608,三级,zú,足
609,四级,ā,阿
610,四级,ǎi,矮
611,四级,bài,败
612,四级,báo,薄
613,四级,bèn,笨
614,四级,bīng,兵
615,四级,cā,擦
616,四级,cāo,操
617,四级,cè,测
618,四级,chè,彻
619,四级,chǐ,尺
620,四级,chōu,抽
621,四级,chuāng,窗
622,四级,chún,纯
623,四级,cū,粗
624,四级,cù,促
625,四级,cùn,寸
626,四级,děi,得
627,四级,dí,敌
628,四级,dǐng,顶
629,四级,dòu,斗
630,四级,dǔ,堵
631,四级,ě,恶
632,四级,ěr,耳
633,四级,fān,翻
634,四级,féi,肥
635,四级,fǔ,府
636,四级,guā,瓜
637,四级,guàng,逛
638,四级,hán,含
639,四级,háo,毫
640,四级,huái,怀
641,四级,huǎn,缓
642,四级,huī,挥
643,四级,jiàng,降
644,四级,jiū,究
645,四级,jū,居
646,四级,jú,局
647,四级,juǎn,卷
648,四级,juàn,卷
649,四级,jūn,均
650,四级,kuān,宽
651,四级,kuò,扩
652,四级,là,辣
653,四级,láng,郎
654,四级,léi,雷
655,四级,lěi,累
656,四级,liǎ,俩
657,四级,liáo,疗
658,四级,liào,料
659,四级,lín,林
660,四级,lún,轮
661,四级,mèng,梦
662,四级,mì,秘
663,四级,miǎn,免
664,四级,miáo,描
665,四级,mō,摸
666,四级,mó,模
667,四级,na,哪
668,四级,nào,闹
669,四级,níng,宁
670,四级,pán,盘
671,四级,péi,培
672,四级,pó,婆
673,四级,qiǎn,浅
674,四级,qiē,切
675,四级,qióng,穷
676,四级,quān,圈
677,四级,ruò,弱
678,四级,sǎn,伞
679,四级,sǎo,扫
680,四级,sēn,森
681,四级,shài,晒
682,四级,shǎn,闪
683,四级,shǎng,赏
684,四级,shāo,烧
685,四级,shèn,甚
686,四级,shuā,刷
687,四级,shuài,帅
688,四级,sōng,松
689,四级,sú,俗
690,四级,suān,酸
691,四级,sūn,孙
692,四级,suō,缩
693,四级,tǎng,躺
694,四级,tī,梯
695,四级,tì,替
696,四级,tiāo,挑
697,四级,tiǎo,挑
698,四级,tiē,贴
699,四级,tǒng,统
700,四级,tòu,透
701,四级,tuō,脱
702,四级,wà,袜
703,四级,wān,弯
704,四级,wěn,稳
705,四级,wú,无
706,四级,xián,咸
707,四级,xǐng,醒
708,四级,xiōng,兄
709,四级,xiù,秀
710,四级,xún,寻
711,四级,yá,牙
712,四级,yà,亚
713,四级,ya,呀
714,四级,yáo,摇
715,四级,yǐn,引
716,四级,zǎi,载
717,四级,zàn,赞
718,四级,zhàng,丈
719,四级,zhāo,招
720,四级,zháo,着
721,四级,zhé,折
722,四级,zhèn,阵
723,四级,zhú,逐
724,四级,zōng,综
725,五级,bá,拔
726,五级,bàng,棒
727,五级,bí,鼻
728,五级,bīn,宾
729,五级,bǐng,饼
730,五级,bó,博
731,五级,cāi,猜
732,五级,chā,叉
733,五级,chāi,拆
734,五级,chái,柴
735,五级,chóu,愁
736,五级,chǒu,丑
737,五级,chòu,臭
738,五级,chuǎng,闯
739,五级,cōng,聪
740,五级,cuì,脆
741,五级,dāi,呆
742,五级,dǎn,胆
743,五级,dǎng,挡
744,五级,diū,丢
745,五级,duī,堆
746,五级,dūn,吨
747,五级,duǒ,朵
748,五级,fá,乏
749,五级,gǎo,搞
750,五级,gēng,更
751,五级,gōu,沟
752,五级,guǐ,鬼
753,五级,gǔn,滚
754,五级,guō,锅
755,五级,hè,贺
756,五级,hèn,恨
757,五级,hóu,猴
758,五级,hǔ,虎
759,五级,huāng,慌
760,五级,huǐ,悔
761,五级,ké,咳
762,五级,kěn,肯
763,五级,kuǎn,款
764,五级,kuáng,狂
765,五级,kuī,亏
766,五级,lǎn,览
767,五级,làn,烂
768,五级,lǎng,朗
769,五级,láo,劳
770,五级,lòu,漏
771,五级,luó,逻
772,五级,mà,骂
773,五级,mián,眠
774,五级,miǎo,秒
775,五级,mǐn,敏
776,五级,mú,模
777,五级,nài,耐
778,五级,nàn,难
779,五级,ǒu,偶
780,五级,pēn,喷
781,五级,pén,盆
782,五级,pǐ,匹
783,五级,pīn,拼
784,五级,pín,频
785,五级,pō,泼
786,五级,pú,葡
787,五级,qiàn,欠
788,五级,qiāng,枪
789,五级,qiǎng,抢
790,五级,qiāo,悄
791,五级,qín,琴
792,五级,quàn,劝
793,五级,rǎn,染
794,五级,rǎo,扰
795,五级,rào,绕
796,五级,rěn,忍
797,五级,rēng,扔
798,五级,ruǎn,软
799,五级,rùn,润
800,五级,sǎ,洒
801,五级,shǎ,傻
802,五级,shé,蛇
803,五级,shě,舍
804,五级,shuāi,摔
805,五级,shuò,硕
806,五级,sōu,搜
807,五级,sǔn,损
808,五级,tǎn,坦
809,五级,táo,逃
810,五级,tōu,偷
811,五级,tù,兔
812,五级,xiáng,详
813,五级,xióng,雄
814,五级,yāng,央
815,五级,yǎo,咬
816,五级,yōng,拥
817,五级,zāi,灾
818,五级,zāo,糟
819,五级,zèng,赠
820,五级,zhāi,摘
821,五级,zhěn,诊
822,五级,zūn,尊
823,六级,āi,挨
824,六级,ái,挨
825,六级,ào,傲
826,六级,bǎng,榜
827,六级,bēn,奔
828,六级,bī,逼
829,六级,biǎn,扁
830,六级,cán,残
831,六级,cǎn,惨
832,六级,cāng,仓
833,六级,cáng,藏
834,六级,chāng,昌
835,六级,chǒng,宠
836,六级,chòng,冲
837,六级,chuàn,串
838,六级,dàng,档
839,六级,diē,跌
840,六级,duān,端
841,六级,duó,夺
842,六级,é,额
843,六级,ēn,恩
844,六级,fěn,粉
845,六级,fèng,奉
846,六级,fó,佛
847,六级,gǎng,岗
848,六级,gǒng,巩
849,六级,guǎi,拐
850,六级,héng,衡
851,六级,hùn,混
852,六级,juān,捐
853,六级,kān,刊
854,六级,kàng,抗
855,六级,kòu,扣
856,六级,kuà,跨
857,六级,la,啦
858,六级,lài,赖
859,六级,lú,炉
860,六级,lüè,略
861,六级,mái,埋
862,六级,mán,馒
863,六级,mēng,蒙
864,六级,méng,盟
865,六级,měng,猛
866,六级,miào,妙
867,六级,miè,灭
868,六级,móu,谋
869,六级,ní,泥
870,六级,niǔ,扭
871,六级,nù,怒
872,六级,nuò,诺
873,六级,pào,泡
874,六级,pìn,聘
875,六级,pū,扑
876,六级,pù,铺
877,六级,qià,恰
878,六级,qié,茄
879,六级,qú,渠
880,六级,rǔ,乳
881,六级,sāi,塞
882,六级,sàng,丧
883,六级,sháo,勺
884,六级,shěn,审
885,六级,shuǎng,爽
886,六级,sū,苏
887,六级,tǎ,塔
888,六级,tà,踏
889,六级,tàn,叹
890,六级,tàng,趟
891,六级,tāo,掏
892,六级,tūn,吞
893,六级,wā,挖
894,六级,wá,娃
895,六级,wa,哇
896,六级,xuán,悬
897,六级,xuè,血
898,六级,yūn,晕
899,六级,yǔn,允
900,六级,zàng,脏
901,六级,zhā,扎
902,六级,zhà,炸
903,六级,zhái,宅
904,六级,zhài,债
905,六级,zhuàn,赚
906,六级,zòng,纵
907,六级,zòu,奏
908,六级,zuān,钻
909,高等,áng,昂
910,高等,āo,凹
911,高等,áo,熬
912,高等,bāi,掰
913,高等,bēng,崩
914,高等,bèng,蹦
915,高等,biē,憋
916,高等,biè,别
917,高等,bo,卜
918,高等,càn,灿
919,高等,cáo,曹
920,高等,cèng,蹭
921,高等,chān,掺
922,高等,chán,缠
923,高等,chàn,颤
924,高等,chě,扯
925,高等,chěng,逞
926,高等,chèng,秤
927,高等,chì,斥
928,高等,chuāi,揣
929,高等,chuǎi,揣
930,高等,chuài,踹
931,高等,chuǎn,喘
932,高等,chuí,垂
933,高等,chǔn,蠢
934,高等,chuō,戳
935,高等,chuò,绰
936,高等,còu,凑
937,高等,cuàn,窜
938,高等,cuī,催
939,高等,cuō,搓
940,高等,dǎi,歹
941,高等,dèng,瞪
942,高等,diān,颠
943,高等,diāo,叼
944,高等,dié,叠
945,高等,dīng,丁
946,高等,dǒu,抖
947,高等,dǔn,盹
948,高等,duò,堕
949,高等,fěi,匪
950,高等,fén,坟
951,高等,féng,逢
952,高等,fěng,讽
953,高等,gà,尬
954,高等,gàng,杠
955,高等,gěng,耿
956,高等,guǎ,寡
957,高等,guāi,乖
958,高等,gùn,棍
959,高等,hān,酣
960,高等,hén,痕
961,高等,hēng,哼
962,高等,hèng,横
963,高等,hōng,烘
964,高等,hǒng,哄
965,高等,hòng,哄
966,高等,hǒu,吼
967,高等,huǎng,谎
968,高等,huàng,晃
969,高等,hún,浑
970,高等,huō,豁
971,高等,jiá,颊
972,高等,jiáo,嚼
973,高等,jiǒng,窘
974,高等,juè,倔
975,高等,jùn,俊
976,高等,kǎi,凯
977,高等,kǎn,砍
978,高等,káng,扛
979,高等,kēng,坑
980,高等,kōu,抠
981,高等,kuā,夸
982,高等,kuǎ,垮
983,高等,kuāng,筐
984,高等,kuí,魁
985,高等,kuì,愧
986,高等,kūn,昆
987,高等,kǔn,捆
988,高等,lǎ,喇
989,高等,lāo,捞
990,高等,lào,涝
991,高等,lēi,勒
992,高等,léng,棱
993,高等,lèng,愣
994,高等,liē,咧
995,高等,liě,咧
996,高等,līn,拎
997,高等,lìn,赁
998,高等,liū,溜
999,高等,liǔ,柳
1000,高等,lǒng,拢
1001,高等,lǒu,搂
1002,高等,lǔ,鲁
1003,高等,luán,孪
1004,高等,luǎn,卵
1005,高等,lūn,抡
1006,高等,luǒ,裸
1007,高等,mǎng,莽
1008,高等,mēn,闷
1009,高等,mèn,闷
1010,高等,miù,谬
1011,高等,mǒ,抹
1012,高等,náng,囊
1013,高等,náo,挠
1014,高等,něi,馁
1015,高等,nèn,嫩
1016,高等,nì,逆
1017,高等,niàng,酿
1018,高等,niào,尿
1019,高等,niē,捏
1020,高等,nǐng,拧
1021,高等,nìng,宁
1022,高等,nú,奴
1023,高等,nüè,虐
1024,高等,nuó,挪
1025,高等,ò,哦
1026,高等,ōu,欧
1027,高等,pā,趴
1028,高等,pān,攀
1029,高等,pāng,乓
1030,高等,pāo,抛
1031,高等,páo,刨
1032,高等,pēi,胚
1033,高等,pēng,抨
1034,高等,pěng,捧
1035,高等,pì,辟
1036,高等,piāo,飘
1037,高等,piě,撇
1038,高等,pīng,乒
1039,高等,pōu,剖
1040,高等,qiā,掐
1041,高等,qiǎ,卡
1042,高等,qiàng,呛
1043,高等,qiào,俏
1044,高等,qǐn,寝
1045,高等,quǎn,犬
1046,高等,rǎng,嚷
1047,高等,ráo,饶
1048,高等,rě,惹
1049,高等,rǒng,冗
1050,高等,róu,柔
1051,高等,ruì,锐
1052,高等,sā,撒
1053,高等,sà,萨
1054,高等,sāng,桑
1055,高等,sǎng,嗓
1056,高等,sāo,骚
1057,高等,sào,臊
1058,高等,sēng,僧
1059,高等,shà,厦
1060,高等,shāi,筛
1061,高等,shē,奢
1062,高等,shéng,绳
1063,高等,shi,匙
1064,高等,shuǎ,耍
1065,高等,shuǎi,甩
1066,高等,shuān,拴
1067,高等,shuàn,涮
1068,高等,sǒng,耸
1069,高等,sòu,嗽
1070,高等,suǐ,髓
1071,高等,tāi,胎
1072,高等,tān,贪
1073,高等,tiǎn,舔
1074,高等,tuí,颓
1075,高等,tún,屯
1076,高等,tuó,驮
1077,高等,tuǒ,妥
1078,高等,tuò,拓
1079,高等,wǎ,瓦
1080,高等,wāi,歪
1081,高等,wāng,汪
1082,高等,wēng,翁
1083,高等,wō,窝
1084,高等,xiā,虾
1085,高等,xiá,侠
1086,高等,xiáo,淆
1087,高等,xiǔ,朽
1088,高等,xú,徐
1089,高等,xuàn,炫
1090,高等,xuē,靴
1091,高等,xūn,勋
1092,高等,yǎ,哑
1093,高等,yē,椰
1094,高等,yuān,冤
1095,高等,zā,扎
1096,高等,zǎn,攒
1097,高等,záo,凿
1098,高等,zéi,贼
1099,高等,zhá,闸
1100,高等,zhǎ,眨
1101,高等,zhǎi,窄
1102,高等,zhān,沾
1103,高等,zhē,遮
1104,高等,zhóu,轴
1105,高等,zhòu,皱
1106,高等,zhuǎ,爪
1107,高等,zhuài,拽
1108,高等,zhuì,坠
1109,高等,zhuó,卓
1110,高等,zuàn,钻